time_s,omega_deg_per_s
27.6000,-0.808162
27.6333,-0.810916
27.6667,-0.812956
27.7000,-0.812943
27.7333,-0.813375
27.7667,-0.815720
27.8000,-0.822446
27.8333,-0.822988
27.8667,-0.822214
27.9000,-0.802219
27.9333,-0.801737
27.9667,-0.812073
28.0000,-0.840213
28.0333,-0.843751
28.0667,-0.842832
28.1000,-0.844817
28.1333,-0.850645
28.1667,-0.857166
28.2000,-0.865808
28.2333,-0.860044
28.2667,-0.859078
28.3000,-0.830947
28.3333,-0.831270
28.3667,-0.832564
28.4000,-0.864757
28.4333,-0.862612
28.4667,-0.862330
28.5000,-0.866669
28.5333,-0.865613
28.5667,-0.869829
28.6000,-0.877137
28.6333,-0.879942
28.6667,-0.884705
28.7000,-0.880716
28.7333,-0.887629
28.7667,-0.892328
28.8000,-0.914476
28.8333,-0.892155
28.8667,-0.897774
28.9000,-0.903019
28.9333,-0.900397
28.9667,-0.900041
29.0000,-0.902145
29.0333,-0.900601
29.0667,-0.899158
29.1000,-0.902323
29.1333,-0.899531
29.1667,-0.900797
29.2000,-0.904372
29.2333,-0.908889
29.2667,-0.910788
29.3000,-0.908379
29.3333,-0.910155
29.3667,-0.907618
29.4000,-0.907309
29.4333,-0.908297
29.4667,-0.921966
29.5000,-0.896471
29.5333,-0.898147
29.5667,-0.902418
29.6000,-0.906116
29.6333,-0.899140
29.6667,-0.895151
29.7000,-0.890725
29.7333,-0.893020
29.7667,-0.896981
29.8000,-0.897478
29.8333,-0.899846
29.8667,-0.899436
29.9000,-0.873208
29.9333,-0.876746
29.9667,-0.880398
30.0000,-0.908502
30.0333,-0.908447
30.0667,-0.902559
30.1000,-0.898457
30.1333,-0.898689
30.1667,-0.897036
30.2000,-0.894773
30.2333,-0.886809
30.2667,-0.887182
30.3000,-0.865216
30.3333,-0.862985
30.3667,-0.860007
30.4000,-0.876892
30.4333,-0.875097
30.4667,-0.871218
30.5000,-0.868586
30.5333,-0.868213
30.5667,-0.862994
30.6000,-0.858295
30.6333,-0.858068
30.6667,-0.857890
30.7000,-0.851073
30.7333,-0.844867
30.7667,-0.844157
30.8000,-0.843592
30.8333,-0.861542
30.8667,-0.855376
30.9000,-0.852408
30.9333,-0.847408
30.9667,-0.821016
31.0000,-0.815270
31.0333,-0.811563
31.0667,-0.807123
31.1000,-0.798877
31.1333,-0.797047
31.1667,-0.796796
31.2000,-0.798458
31.2333,-0.795521
31.2667,-0.788085
31.3000,-0.786050
31.3333,-0.783236
31.3667,-0.779821
31.4000,-0.774102
31.4333,-0.769275
31.4667,-0.761789
31.5000,-0.727857
31.5333,-0.726523
31.5667,-0.746781
31.6000,-0.742255
31.6333,-0.738671
31.6667,-0.730981
31.7000,-0.728554
31.7333,-0.730015
31.7667,-0.725762
31.8000,-0.721901
31.8333,-0.726131
31.8667,-0.726131
31.9000,-0.706938
31.9333,-0.705522
31.9667,-0.706214
32.0000,-0.722648
32.0333,-0.721874
32.0667,-0.721573
32.1000,-0.720931
32.1333,-0.723526
32.1667,-0.716405
32.2000,-0.715348
32.2333,-0.713737
32.2667,-0.708195
32.3000,-0.703596
32.3333,-0.681507
32.3667,-0.682928
32.4000,-0.698013
32.4333,-0.699612
32.4667,-0.705158
32.5000,-0.705153
32.5333,-0.703906
